College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
A. C. Patil College of Engineering - [ACPCE],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 4,84,000",BE (Information Technology),"₹ 4,84,000",https://collegedunia.com/college/28453-a-c-patil-college-of-engineering-acpce-navi-mumbai/courses-fees?course_id=1954
Jhulelal Institute of Technology - [JIT],"Nagpur, Maharashtra",B.Tech Computer Science and Engi...,"₹ 4,40,000",B.Tech Computer Science Engineering,"₹ 4,40,000",https://collegedunia.com/college/28496-jhulelal-institute-of-technology-jit-nagpur/courses-fees?course_id=26456
Vidyavardhini's College of Engineering and Technology - [VCET],"Vasai, Maharashtra",BE (Information Technology),"₹ 1,29,102",BE Computer Engineering,"₹ 1,29,102",https://collegedunia.com/college/45852-vidyavardhinis-college-of-engineering-and-technology-vcet-vasai/courses-fees?course_id=5108
Pillai HOC College of Engineering and Technology - [PHCET],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 3,99,000",BE (Information Technology),"₹ 3,99,000",https://collegedunia.com/college/28225-pillai-hoc-college-of-engineering-and-technology-phcet-navi-mumbai/courses-fees?course_id=1954
SVKM's Institute of Technology - [SVKM's-IOT],"Dhule, Maharashtra",B.Tech Computer Engineering,"₹ 1,09,500",B.Tech Information Technology,"₹ 1,09,500",https://collegedunia.com/college/59757-svkms-institute-of-technology-svkmsiot-dhule/courses-fees?course_id=2047
SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala,"Pune, Maharashtra",BE (Information Technology),"₹ 4,08,000",BE Computer Engineering,"₹ 4,08,000",https://collegedunia.com/college/14828-skn-sinhgad-institute-of-technology-and-science-sknsits-lonavala-pune/courses-fees?course_id=5108
Godavari College of Engineering - [GCOE],"Jalgaon, Maharashtra",B.Tech Computer Engineering,"₹ 78,500",B.Tech Artificial Intelligence a...,"₹ 78,500",https://collegedunia.com/college/13567-godavari-college-of-engineering-gcoe-jalgaon/courses-fees?course_id=2047
Guru Gobind Singh College of Engineering And Research Centre,"Nashik, Maharashtra",BE Computer Engineering,"₹ 3,76,000",BE Artificial Intelligence and D...,"₹ 3,76,000",https://collegedunia.com/college/56847-guru-gobind-singh-college-of-engineering-and-research-centre-nashik/courses-fees?course_id=1954
Padmabhooshan Vasantdada Patil Institute of Technology - [PVPIT],"Sangli, Maharashtra",B.Tech Artificial Intelligence,"₹ 3,80,000",B.Tech Chemical Engineering,"₹ 3,80,000",https://collegedunia.com/college/24324-padmabhooshan-vasantdada-patil-institute-of-technology-pvpit-sangli/courses-fees?course_id=16073
Shree L. R. Tiwari College of Engineering - [SLRTCE],"Thane, Maharashtra",BE Computer Engineering,"₹ 1,18,000",BE (Information Technology),"₹ 1,18,000",https://collegedunia.com/college/45785-shree-l-r-tiwari-college-of-engineering-slrtce-thane/courses-fees?course_id=1954
Pravara Rural Engineering College - [PREC] Loni,"Ahmednagar, Maharashtra",BE Computer Engineering,"₹ 5,08,000",BE (Information Technology),"₹ 5,08,000",https://collegedunia.com/college/14593-pravara-rural-engineering-college-prec-loni-ahmednagar/courses-fees?course_id=1954
Trinity College of Engineering and Research,"Pune, Maharashtra",BE Computer Engineering,"₹ 1,09,754",BE (Information Technology),"₹ 1,09,754",https://collegedunia.com/college/28854-trinity-college-of-engineering-and-research-pune/courses-fees?course_id=1954
Deogiri Institute of Engineering and Management Studies - [DIEMS],"Aurangabad, Maharashtra",B.Tech Computer Science Engineering,"₹ 93,000",B.Tech Artificial Intelligence a...,"₹ 93,000",https://collegedunia.com/college/13330-deogiri-institute-of-engineering-and-management-studies-diems-aurangabad/courses-fees?course_id=2049
Siddhant College of Engineering - [SCOE] Sudumbare,"Pune, Maharashtra",BE Computer Engineering,"₹ 58,500",BE (Information Technology),"₹ 58,500",https://collegedunia.com/college/15127-siddhant-college-of-engineering-scoe-sudumbare-pune/courses-fees?course_id=1954
Parvatibai Genba Moze College of Engineering - [PGMCOE],"Pune, Maharashtra",BE Computer Engineering,"₹ 37,500",BE (Information Technology),"₹ 37,500",https://collegedunia.com/college/45525-parvatibai-genba-moze-college-of-engineering-pgmcoe-pune/courses-fees?course_id=1954
K. C. College of Engineering And Management Studies And Research,"Thane, Maharashtra",BE (Information Technology),"₹ 3,83,000",BE Computer Engineering,"₹ 3,83,000",https://collegedunia.com/college/28620-k-c-college-of-engineering-and-management-studies-and-research-thane/courses-fees?course_id=5108
Rizvi College of Engineering - [RCOE],"Mumbai, Maharashtra",BE Computer Engineering,"₹ 1,16,618",BE Artificial Intelligence and D...,"₹ 1,16,618",https://collegedunia.com/college/14783-rizvi-college-of-engineering-rcoe-mumbai/courses-fees?course_id=1954
SSBT's College of Engineering and Technology,"Jalgaon, Maharashtra",BE Electrical Engineering,"₹ 3,12,000",BE Computer Engineering,"₹ 3,12,000",https://collegedunia.com/college/15044-ssbts-college-of-engineering-and-technology-jalgaon/courses-fees?course_id=1959
Saraswati College of Engineering - [SCOE],"Navi Mumbai, Maharashtra",BE Artificial Intelligence & Mac...,"₹ 3,90,000",BE Computer Engineering,"₹ 3,90,000",https://collegedunia.com/college/14941-saraswati-college-of-engineering-scoe-navi-mumbai/courses-fees?course_id=16332
Universal College of Engineering and Research - [UCOER] Sasewadi,"Pune, Maharashtra",BE Computer Engineering,"₹ 85,000",BE Electrical Engineering,"₹ 85,000",https://collegedunia.com/college/28863-universal-college-of-engineering-and-research-ucoer-sasewadi-pune/courses-fees?course_id=1954
Yadavrao Tasgaonkar College of Engineering & Management - [YTCEM],"Karjat, Maharashtra",BE Electronics & Telecom Enginee...,"₹ 1,92,000",BE Cyber Security,"₹ 1,92,000",https://collegedunia.com/college/58340-yadavrao-tasgaonkar-college-of-engineering-and-management-ytcem-karjat/courses-fees?course_id=1961
Genba Sopanrao Moze College of Engineering Balewadi,"Pune, Maharashtra",BE Computer Engineering,"₹ 1,50,000",BE (Information Technology),"₹ 1,50,000",https://collegedunia.com/college/13549-genba-sopanrao-moze-college-of-engineering-balewadi-pune/courses-fees?course_id=1954
Alard College of Engineering and Management - [ACEM],"Pune, Maharashtra",BE Artificial Intelligence & Mac...,"₹ 47,000",BE Computer Science and Design,"₹ 47,000",https://collegedunia.com/college/12775-alard-college-of-engineering-and-management-acem-pune/courses-fees?course_id=16332
"RH Sapat College of Engineering, Management Studies and Research","Nashik, Maharashtra",BE Computer Engineering,"₹ 2,80,000",BE Electronics & Telecom Enginee...,"₹ 2,80,000",https://collegedunia.com/college/14777-rh-sapat-college-of-engineering-management-studies-and-research-nashik/courses-fees?course_id=1954
Lokmanya Tilak College of Engineering - [LTCE],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 1,58,515",BE IOT & Cyber Security Includin...,"₹ 1,58,515",https://collegedunia.com/college/14099-lokmanya-tilak-college-of-engineering-ltce-navi-mumbai/courses-fees?course_id=1954
SKN Sinhgad College of Engineering,"Solapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,84,000",B.Tech Electronics & Telecommuni...,"₹ 3,84,000",https://collegedunia.com/college/28968-skn-sinhgad-college-of-engineering-solapur/courses-fees?course_id=2049
Sahyadri Valley College of Engineering and Technology - [SVCET],"Pune, Maharashtra",BE Computer Engineering,"₹ 62,000",BE Artificial Intelligence & Mac...,"₹ 62,000",https://collegedunia.com/college/14895-sahyadri-valley-college-of-engineering-and-technology-svcet-pune/courses-fees?course_id=1954
Smt. Indira Gandhi College of Engineering - [SIGCE],"Navi Mumbai, Maharashtra",BE Computer Engineering,"₹ 1,12,629",BE Artificial Intelligence & Mac...,"₹ 1,12,629",https://collegedunia.com/college/15165-smt-indira-gandhi-college-of-engineering-sigce-navi-mumbai/courses-fees?course_id=1954
Sandip Institute of Technology and Research Center - [SITRC],"Nashik, Maharashtra",BE Artificial Intelligence and D...,"₹ 1,20,000",BE Computer Engineering,"₹ 1,20,000",https://collegedunia.com/college/14917-sandip-institute-of-technology-and-research-center-sitrc-nashik/courses-fees?course_id=20216
Shreeyash College of Engineering and Technology - [SYCET],"Aurangabad, Maharashtra",B.Tech Computer Science Engineering,"₹ 83,700",B.Tech Data Science,"₹ 83,700",https://collegedunia.com/college/15066-shreeyash-college-of-engineering-and-technology-sycet-aurangabad/courses-fees?course_id=2049
Priyadarshini Bhagwati College of Engineering - [PBCOE],"Nagpur, Maharashtra",BE Computer Science and Engineering,"₹ 1,03,500",BE (Information Technology),"₹ 1,03,500",https://collegedunia.com/college/15164-priyadarshini-bhagwati-college-of-engineering-pbcoe-nagpur/courses-fees?course_id=1956
KJ College of Engineering & Management Research - [KJCOEMR],"Pune, Maharashtra",BE Computer Engineering,"₹ 1,11,534",BE Electronics & Telecom Enginee...,"₹ 1,11,534",https://collegedunia.com/college/28556-kj-college-of-engineering-and-management-research-kjcoemr-pune/courses-fees?course_id=1954
Bharati Vidyapeeth College of Engineering - [BVCOE],"Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 1,01,000",BE Artificial Intelligence & Mac...,"₹ 1,01,000",https://collegedunia.com/college/13060-bharati-vidyapeeth-college-of-engineering-bvcoe-kolhapur/courses-fees?course_id=2049
Sandip Institute of Engineering and Management - [SIEM],"Nashik, Maharashtra",BE Electronics & Telecom Enginee...,"₹ 4,94,000",BE Computer Engineering,"₹ 4,94,000",https://collegedunia.com/college/14916-sandip-institute-of-engineering-and-management-siem-nashik/courses-fees?course_id=1961
Shree Siddheshwar Women’s College of Engineering - [SSWCOE],"Solapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 3,52,000",B.Tech Electronics & Telecommuni...,"₹ 3,52,000",https://collegedunia.com/college/61562-shree-siddheshwar-womens-college-of-engineering-sswcoe-solapur/courses-fees?course_id=2049
Priyadarshini J.L. College of Engineering - [PJLCE],"Nagpur, Maharashtra",BE Computer Science and Engineering,"₹ 5,44,000",BE Artificial Intelligence,"₹ 5,44,000",https://collegedunia.com/college/57254-priyadarshini-jl-college-of-engineering-pjlce-nagpur/courses-fees?course_id=1956
Shree Ramchandra College of Engineering - [SRCOE],"Pune, Maharashtra",BE Computer Engineering,"₹ 77,780",BE Artificial Intelligence and D...,"₹ 77,780",https://collegedunia.com/college/15058-shree-ramchandra-college-of-engineering-srcoe-pune/courses-fees?course_id=1954
Jai Hind College OF Engineering - [JCOE] Kuran,"Pune, Maharashtra",BE Computer Engineering,"₹ 3,00,000",BE Artificial Intelligence and D...,"₹ 3,00,000",https://collegedunia.com/college/28443-jai-hind-college-of-engineering-jcoe-kuran-pune/courses-fees?course_id=1954
