College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
Birsa Institute of Technology - [BIT] Sindri,"Dhanbad, Jharkhand",B.Tech Computer Science Engineering,"₹ 19,832",B.Tech Cyber Security,,https://collegedunia.com/college/13093-birsa-institute-of-technology-bit-sindri-dhanbad/courses-fees?course_id=2049
National Institute of Technology - [NIT] Meghalaya,"Shillong, Meghalaya",B.Tech Computer Science Engineering,"₹ 1,45,000",B.Tech Electronics & Communicati...,"₹ 1,45,000",https://collegedunia.com/university/25743-national-institute-of-technology-nit-meghalaya-shillong/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Imphal, Manipur",B.Tech Computer Science Engineering,"₹ 1,57,800",B.Tech Electronics & Communicati...,"₹ 1,57,800",https://collegedunia.com/university/28221-national-institute-of-technology-nit-imphal/courses-fees?course_id=2049
Indian Institute of Information Technology Design and Manufacturing - [IIITDM],"Kurnool, Andhra Pradesh",B.Tech Computer Engineering,"₹ 2,09,100",B.Tech Artificial Intelligence a...,"₹ 2,09,100",https://collegedunia.com/university/55791-indian-institute-of-information-technology-design-and-manufacturing-iiitdm-kurnool/courses-fees?course_id=2047
National Institute of Technology - [NIT],"South Sikkim, Sikkim",B.Tech Computer Science Engineering,"₹ 1,53,835",B.Tech Artificial Intelligence a...,"₹ 1,53,835",https://collegedunia.com/university/28213-national-institute-of-technology-nit-south-sikkim/courses-fees?course_id=2049
Netaji Subhas University of Technology - [NSUT] West Campus,"New Delhi, Delhi NCR",B.Tech Electric Vehicle Technology,"₹ 2,50,000",B.Tech Civil Engineering,"₹ 2,50,000",https://collegedunia.com/university/13186-netaji-subhas-university-of-technology-nsut-west-campus-new-delhi/courses-fees?course_id=19316
Maharaja Agrasen Institute of Technology - [MAIT],"New Delhi, Delhi NCR",B.Tech Computer Science Engineering,"₹ 1,89,500",B.Tech Artificial Intelligence a...,"₹ 1,89,500",https://collegedunia.com/college/14191-maharaja-agrasen-institute-of-technology-mait-new-delhi/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Dimapur, Nagaland",B.Tech Computer Science Engineering,"₹ 1,60,200",B.Tech Electronics & Communicati...,"₹ 1,60,200",https://collegedunia.com/university/28219-national-institute-of-technology-nit-dimapur/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Aizawl, Mizoram",B.Tech Computer Science Engineering,"₹ 1,50,200",B.Tech Mathematics and Computing,"₹ 1,50,200",https://collegedunia.com/university/28298-national-institute-of-technology-nit-aizawl/courses-fees?course_id=2049
Indian Institute of Information Technology - [IIITM],"Imphal, Manipur",B.Tech Artificial Intelligence a...,"₹ 2,46,300",B.Tech Computer Science Engineering,"₹ 2,46,300",https://collegedunia.com/university/55783-indian-institute-of-information-technology-iiitm-imphal/courses-fees?course_id=22838
National Institute of Technology - [NIT],"Papum Pare, Arunachal Pradesh",B.Tech Computer Science Engineering,"₹ 1,29,500",B.Tech Electronics & Communicati...,"₹ 1,29,500",https://collegedunia.com/university/25387-national-institute-of-technology-nit-papum-pare/courses-fees?course_id=2049
Birla Institute of Technology - [BIT],"Patna, Bihar",B.Tech Computer Science Engineering,"₹ 4,34,000",B.Tech Artificial Intelligence a...,"₹ 4,34,000",https://collegedunia.com/college/45043-birla-institute-of-technology-bit-patna/courses-fees?course_id=2049
"University School of Information, Communication and Technology - [USICT]","New Delhi, Delhi NCR",B.Tech + M.Tech Computer Scienc...,"₹ 1,02,000",B.Tech + M.Tech. Information T...,"₹ 1,02,000",https://collegedunia.com/college/28205-university-school-of-information-communication-and-technology-usict-new-delhi/courses-fees?course_id=2146
Birla Institute of Technology Extension Centre - [BIT],"Deoghar, Jharkhand",B.Tech Computer Science Engineering,"₹ 4,34,000",B.Tech Electrical and Electronic...,"₹ 4,34,000",https://collegedunia.com/college/28942-birla-institute-of-technology-extension-centre-bit-deoghar/courses-fees?course_id=2049
Maharaja Surajmal Institute of Technology - [MSIT],"New Delhi, Delhi NCR",B.Tech Computer Science Engineering,"₹ 1,63,100",B.Tech Information Technology,"₹ 1,63,100",https://collegedunia.com/college/14199-maharaja-surajmal-institute-of-technology-msit-new-delhi/courses-fees?course_id=2049
Ajay Kumar Garg Engineering College - [AKGEC],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,42,156",B.Tech Artificial Intelligence a...,"₹ 1,42,156",https://collegedunia.com/college/12753-ajay-kumar-garg-engineering-college-akgec-ghaziabad/courses-fees?course_id=2049
G L Bajaj Institute of Technology and Management,"Greater Noida, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 4,43,160",B.Tech Artificial Intelligence a...,"₹ 4,43,160",https://collegedunia.com/college/13536-g-l-bajaj-institute-of-technology-and-management-greater-noida/courses-fees?course_id=2049
Madan Mohan Malaviya University of Technology - [MMMUT],"Gorakhpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,75,200",B.Tech Information Technology,"₹ 2,75,200",https://collegedunia.com/university/14171-madan-mohan-malaviya-university-of-technology-mmmut-gorakhpur/courses-fees?course_id=2049
Puducherry Technological University,"Pondicherry, Puducherry",B.Tech Computer Science Engineering,"₹ 90,401",B.Tech Information Technology,"₹ 90,401",https://collegedunia.com/college/55114-puducherry-technological-university-pondicherry/courses-fees?course_id=2049
Galgotias College of Engineering and Technology - [GCET],"Greater Noida, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,15,603",B.Tech Artificial Intelligence,"₹ 1,15,603",https://collegedunia.com/college/13522-galgotias-college-of-engineering-and-technology-gcet-greater-noida/courses-fees?course_id=2049
Dr. Hari singh Gour University,"Sagar, Madhya Pradesh",B.Tech Computer Science Engineering,"₹ 1,28,310",B.Tech Aeronautical Engineering,"₹ 1,28,310",https://collegedunia.com/university/25663-dr-hari-singh-gour-university-sagar/courses-fees?course_id=2049
Shri Mata Vaishno Devi University - [SMVDU],"Katra, Jammu and Kashmir",B.Tech Computer Science Engineering,"₹ 1,63,990",B.Tech Mathematics and Computing,"₹ 1,63,990",https://collegedunia.com/university/25574-shri-mata-vaishno-devi-university-smvdu-katra/courses-fees?course_id=2049
Assam University,"Silchar, Assam",B.Tech Computer Science Engineering,"₹ 71,920",B.Tech Electronics & Communicati...,"₹ 71,920",https://collegedunia.com/university/25392-assam-university-silchar/courses-fees?course_id=2049
ABES Engineering College,"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,70,600",B.Tech Artificial Intelligence a...,"₹ 1,70,600",https://collegedunia.com/college/12665-abes-engineering-college-ghaziabad/courses-fees?course_id=2049
National Institute Of Advanced Manufacturing Technology (NIAMT),"Ranchi, Jharkhand",B.Tech Computer Engineering,"₹ 77,000",B.Tech Mechanical Engineering,"₹ 77,000",https://collegedunia.com/college/14451-national-institute-of-advanced-manufacturing-technology-niamt-ranchi/courses-fees?course_id=2047
"GB Pant Delhi Skill and Entrepreneurship University, Okhla-I Campus","New Delhi, Delhi NCR",B.Tech Computer Science Engineering,"₹ 5,85,000",B.Tech Electronics & Communicati...,"₹ 5,85,000",https://collegedunia.com/college/28252-gb-pant-delhi-skill-and-entrepreneurship-university-okhlai-campus-new-delhi/courses-fees?course_id=2049
Jamia Millia Islamia University-[JMI],"New Delhi, Delhi NCR",B.Tech Computer Engineering,"₹ 19,225",B.Tech Computer Science and Engi...,"₹ 1,52,875",https://collegedunia.com/university/25460-jamia-millia-islamia-universityjmi-new-delhi/courses-fees?course_id=2047
University Institute of Engineering and Technology -[UIET],"Chandigarh, Chandigarh",BE Computer Science and Engineering,"₹ 1,34,860",BE (Information Technology),"₹ 1,34,860",https://collegedunia.com/college/28262-university-institute-of-engineering-and-technology-uiet-chandigarh/courses-fees?course_id=1956
"Central Institute of Technology (CIT), Kokrajhar","Kokrajhar, Assam",B.Tech Computer Science Engineering,"₹ 52,000",B.Tech Electronics & Communicati...,"₹ 52,000",https://collegedunia.com/university/45650-central-institute-of-technology-cit-kokrajhar-kokrajhar/courses-fees?course_id=2049
North Eastern Regional Institute of Science and Technology - [NERIST],"Itanagar, Arunachal Pradesh",B.Tech Computer Science Engineering,"₹ 23,000",B.Tech Mechanical Engineering,"₹ 23,000",https://collegedunia.com/university/25388-north-eastern-regional-institute-of-science-and-technology-nerist-itanagar/courses-fees?course_id=2049
Institute of Engineering and Technology - [IET],"Lucknow, Uttar Pradesh",B.Tech Artificial Intelligence,"₹ 1,04,775",B.Tech Computer Science Engineering,"₹ 89,775",https://collegedunia.com/college/13838-institute-of-engineering-and-technology-iet-lucknow/courses-fees?course_id=16073
Chandigarh College of Engineering and Technology - [CCET],"Chandigarh, Chandigarh",BE Computer Science and Engineering,"₹ 75,998",BE Electronics & Communication E...,"₹ 75,998",https://collegedunia.com/university/5553-chandigarh-college-of-engineering-and-technology-ccet-chandigarh/courses-fees?course_id=1956
Sant Longowal Institute of Engineering and Technology - [SLIET],"Sangrur, Punjab",BE Computer Science and Engineering,"₹ 88,000",BE Electronics & Communication E...,"₹ 88,000",https://collegedunia.com/university/25793-sant-longowal-institute-of-engineering-and-technology-sliet-sangrur/courses-fees?course_id=1956
Bhagwan Parshuram Institute of Technology - [BPIT],"New Delhi, Delhi NCR",B.Tech Computer Science Engineering,"₹ 1,99,500",B.Tech Data Science,"₹ 1,99,500",https://collegedunia.com/college/13032-bhagwan-parshuram-institute-of-technology-bpit-new-delhi/courses-fees?course_id=2049
Dr. S. S. Bhatnagar University Institute of Chemical Engineering & Technology - [UICTE],"Chandigarh, Chandigarh",BE Chemical Engineering,"₹ 40,095",BE + MBA (Chemical Engineering),"₹ 1,19,505",https://collegedunia.com/college/45806-dr-s-s-bhatnagar-university-institute-of-chemical-engineering-and-technology-uicte-chandigarh/courses-fees?course_id=1935
Central University of Rajasthan - [CURAJ],"Ajmer, Rajasthan",B.Tech Computer Science Engineering,"₹ 1,54,050",B.Tech Electronics & Communicati...,"₹ 1,54,050",https://collegedunia.com/university/25802-central-university-of-rajasthan-curaj-ajmer/courses-fees?course_id=2049
"University College of Engineering and Technology, Vinoba Bhave University - [UCET]","Hazaribagh, Jharkhand",B.Tech Computer Science Engineering,"₹ 74,000",B.Tech Information Technology,"₹ 74,000",https://collegedunia.com/college/58892-university-college-of-engineering-and-technology-vinoba-bhave-university-ucet-hazaribagh/courses-fees?course_id=2049
P.U. Swami Sarvanand Giri Regional Centre - [PUSSGRC],"Hoshiarpur, Punjab",BE Computer Science and Engineering,"₹ 1,21,855",BE (Information Technology),"₹ 1,14,305",https://collegedunia.com/college/60233-pu-swami-sarvanand-giri-regional-centre-pussgrc-hoshiarpur/courses-fees?course_id=1956
Kamla Nehru Institute of Technology - [KNIT],"Sultanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 61,200",B.Tech Information Technology,"₹ 61,200",https://collegedunia.com/college/13971-kamla-nehru-institute-of-technology-knit-sultanpur/courses-fees?course_id=2049
Central University Of Jammu,"Jammu, Jammu and Kashmir",B.Tech Computer Science Engineering,"₹ 1,40,000",B.Tech Cyber Security,"₹ 1,40,000",https://collegedunia.com/university/25568-central-university-of-jammu-jammu/courses-fees?course_id=2049
Bharati Vidyapeeth's College of Engineering - [BVCOE],"New Delhi, Delhi NCR",B.Tech Artificial Intelligence a...,"₹ 1,89,500",B.Tech Computer Science Engineering,"₹ 1,89,500",https://collegedunia.com/college/13059-bharati-vidyapeeths-college-of-engineering-bvcoe-new-delhi/courses-fees?course_id=15865
Cambridge Institute of Technology - [CIT],"Ranchi, Jharkhand",B.Tech Electrical and Electronic...,"₹ 92,950",B.Tech Computer Science Engineering,"₹ 92,950",https://collegedunia.com/college/13154-cambridge-institute-of-technology-cit-ranchi/courses-fees?course_id=2051
Bundelkhand Institute of Engineering & Technology - [BIET],"Jhansi, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 61,800",B.Tech Information Technology,"₹ 76,800",https://collegedunia.com/college/13119-bundelkhand-institute-of-engineering-and-technology-biet-jhansi/courses-fees?course_id=2049
Guru Tegh Bahadur Institute of Technology - [GTBIT],"New Delhi, Delhi NCR",B.Tech Data Science,"₹ 1,92,200",B.Tech Computer Science Engineering,"₹ 1,92,200",https://collegedunia.com/college/13667-guru-tegh-bahadur-institute-of-technology-gtbit-new-delhi/courses-fees?course_id=15263
Chhattisgarh Swami Vivekanand Technical University - [CSVTU],"Bhilai, Chhattisgarh",B.Tech Data Science,"₹ 1,05,200",B.Tech Artificial Intelligence,"₹ 1,05,200",https://collegedunia.com/university/25427-chhattisgarh-swami-vivekanand-technical-university-csvtu-bhilai/courses-fees?course_id=15263
RVS College of Engineering and Technology - [RVSCET],"Jamshedpur, Jharkhand",B.Tech Electronics & Communicati...,"₹ 4,18,400",B.Tech Computer Science Engineering,"₹ 4,46,000",https://collegedunia.com/college/14681-rvs-college-of-engineering-and-technology-rvscet-jamshedpur/courses-fees?course_id=2055
Indian Institute of Handloom Technology - [IIHT],"Salem, Tamil Nadu",B.Tech Handloom & Textile Techno...,"₹ 24,555",,,https://collegedunia.com/college/59040-indian-institute-of-handloom-technology-iiht-salem/courses-fees?course_id=15545
JSS Academy of Technical Education - [JSSATE],"Noida, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,38,850",B.Tech Data Science,"₹ 1,38,850",https://collegedunia.com/college/16644-jss-academy-of-technical-education-jssate-noida/courses-fees?course_id=2049
Heritage Institute of Technology - [HIT],"Kolkata, West Bengal",B.Tech Electrical Engineering,"₹ 1,72,200",B.Tech Applied Electronics and I...,"₹ 1,72,200",https://collegedunia.com/college/13708-heritage-institute-of-technology-hit-kolkata/courses-fees?course_id=2052
Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],"New Delhi, Delhi NCR",B.Tech Computer Science and Tech...,"₹ 1,48,600",B.Tech Computer Science Engineering,"₹ 1,48,600",https://collegedunia.com/college/14513-dr-akhilesh-das-gupta-institute-of-technology-and-management-adgitm-new-delhi/courses-fees?course_id=14339
University of Engineering and Management - [UEM],"Kolkata, West Bengal",B.Tech Internet of Things & Cybe...,"₹ 2,42,500",B.Tech Cyber Security,"₹ 2,42,500",https://collegedunia.com/college/57446-university-of-engineering-and-management-uem-kolkata/courses-fees?course_id=20299
"GB Pant Delhi Skill and Entrepreneurship University, Okhla-II Campus","New Delhi, Delhi NCR",B.Tech Network Security,,B.Tech Data Analytics,N/A,https://collegedunia.com/college/64689-gb-pant-delhi-skill-and-entrepreneurship-university-okhlaii-campus-new-delhi/courses-fees?course_id=15861
Dr. Ambedkar Institute of Technology for Handicapped - [AITH],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 61,000",B.Tech Information Technology,"₹ 61,000",https://collegedunia.com/college/13370-dr-ambedkar-institute-of-technology-for-handicapped-aith-kanpur/courses-fees?course_id=2049
KIET Group of Institutions - [KIET],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,12,099",B.Tech Artificial Intelligence a...,"₹ 1,12,099",https://collegedunia.com/college/14038-kiet-group-of-institutions-kiet-ghaziabad/courses-fees?course_id=2049
Delhi Technical Campus - [DTC],"Greater Noida, Uttar Pradesh",B.Tech Artificial Intelligence a...,"₹ 1,56,100",B.Tech Computer Science Engineering,"₹ 1,56,100",https://collegedunia.com/college/55842-delhi-technical-campus-dtc-greater-noida/courses-fees?course_id=22838
North-Eastern Hill University - [NEHU],"Shillong, Meghalaya",B.Tech Information Technology,"₹ 5,670",B.Tech Energy Engineering,"₹ 5,670",https://collegedunia.com/university/25744-northeastern-hill-university-nehu-shillong/courses-fees?course_id=5122
Delhi Skill and Entrepreneurship University (DSEU),"New Delhi, Delhi NCR",B.Tech Computer Science Engineering,"₹ 1,89,300",B.Tech Electronics & Communicati...,"₹ 1,89,300",https://collegedunia.com/university/62573-delhi-skill-and-entrepreneurship-university-dseu-new-delhi/courses-fees?course_id=2049
HMR Institute of Technology & Management - [HMRITM],"New Delhi, Delhi NCR",B.Tech Computer Science Engineering,"₹ 1,59,100",B.Tech Cyber Security,"₹ 1,59,100",https://collegedunia.com/college/13691-hmr-institute-of-technology-and-management-hmritm-new-delhi/courses-fees?course_id=2049
Nilai Institute of Technology - [NIT],"Ranchi, Jharkhand",B.Tech Computer Science Engineering,"₹ 81,000",,,https://collegedunia.com/college/55801-nilai-institute-of-technology-nit-ranchi/courses-fees?course_id=2049
Techno Main Salt Lake,"Kolkata, West Bengal",B.Tech Data Science,"₹ 97,500",B.Tech Internet of Things,"₹ 97,500",https://collegedunia.com/college/58121-techno-main-salt-lake-kolkata/courses-fees?course_id=15263
Indian Institute of Food Processing Technology - [IIFPT],"Thanjavur, Tamil Nadu",B.Tech Food Technology,N/A,,N/A,https://collegedunia.com/college/6638-indian-institute-of-food-processing-technology-iifpt-thanjavur/courses-fees?course_id=2066
Rajkiya Engineering College [REC],"Banda, Uttar Pradesh",B.Tech Information Technology,"₹ 62,500",B.Tech Electrical Engineering,"₹ 62,500",https://collegedunia.com/college/58558-rajkiya-engineering-college-rec-banda/courses-fees?course_id=5122
Central University of Haryana - [CUH],"Mahendragarh, Haryana",B.Tech Computer Science Engineering,"₹ 67,842",B.Tech Electrical Engineering,"₹ 67,842",https://collegedunia.com/university/25521-central-university-of-haryana-cuh-mahendragarh/courses-fees?course_id=2049
National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],"Sonepat, Haryana",B.Tech Food Technology and Manag...,"₹ 2,17,550",,,https://collegedunia.com/college/25539-national-institute-of-food-technology-entrepreneurship-and-management-niftem-sonepat/courses-fees?course_id=10940
JIMS Engineering Management Technical Campus- [JEMTEC],"Greater Noida, Uttar Pradesh",B.Tech Artificial Intelligence a...,"₹ 4,44,000",B.Tech Computer Science Engineering,"₹ 4,44,000",https://collegedunia.com/college/28501-jims-engineering-management-technical-campus-jemtec-greater-noida/courses-fees?course_id=22838
"University Institute of Technology, University Of Burdwan - [UIT]","Bardhaman, West Bengal",BE Electrical Engineering,"₹ 93,200",BE Electronics & Communication E...,"₹ 1,00,200",https://collegedunia.com/college/24555-university-institute-of-technology-university-of-burdwan-uit-bardhaman/courses-fees?course_id=1959
DRIEMS University,"Cuttack, Odisha",B.Tech Artificial Intelligence a...,"₹ 1,59,000",B.Tech Electronics & Telecommuni...,"₹ 1,15,000",https://collegedunia.com/university/28119-driems-university-cuttack/courses-fees?course_id=15865
Rajkiya Engineering College - [REC],"Sonbhadra, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 57,300",B.Tech Electronics Engineering,"₹ 57,300",https://collegedunia.com/college/59595-rajkiya-engineering-college-rec-sonbhadra/courses-fees?course_id=2049
Institute of Engineering and Rural Technology - [IERT],"Allahabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 70,500",B.Tech Electronics Engineering,"₹ 70,500",https://collegedunia.com/college/13836-institute-of-engineering-and-rural-technology-iert-allahabad/courses-fees?course_id=2049
Ghani Khan Choudhury Institute Of Engineering and Technology -[GKCIET],"Malda, West Bengal",B.Tech Mechanical Engineering,"₹ 52,773",B.Tech Food Technology,"₹ 52,773",https://collegedunia.com/college/60074-ghani-khan-choudhury-institute-of-engineering-and-technology-gkciet-malda/courses-fees?course_id=2094
Institute of Infrastructure Technology Research and Management - [IITRAM],"Ahmedabad, Gujarat",B.Tech Computer Engineering,"₹ 1,28,000",B.Tech Electrical Engineering,"₹ 1,28,000",https://collegedunia.com/university/57061-institute-of-infrastructure-technology-research-and-management-iitram-ahmedabad/courses-fees?course_id=2047
Rajkiya Engineering College - [REC],"Ambedkar Nagar, Uttar Pradesh",B.Tech Information Technology,"₹ 57,300",B.Tech Electrical Engineering,"₹ 57,300",https://collegedunia.com/college/58566-rajkiya-engineering-college-rec-ambedkar-nagar/courses-fees?course_id=5122
Haldia Institute of Technology - [HIT],"Haldia, West Bengal",B.Tech Artificial Intelligence a...,"₹ 1,62,700",B.Tech Cyber Security,"₹ 1,62,700",https://collegedunia.com/college/13695-haldia-institute-of-technology-hit-haldia/courses-fees?course_id=15865
Netaji Subhash Engineering College - [NSEC],"Kolkata, West Bengal",B.Tech Computer Science Engineering,"₹ 6,26,000",B.Tech Information Technology,"₹ 6,26,000",https://collegedunia.com/college/14481-netaji-subhash-engineering-college-nsec-kolkata/courses-fees?course_id=2049
Lucknow Institute of Technology - [LIT],"Lucknow, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 60,000",B.Tech Information Technology,"₹ 40,000",https://collegedunia.com/college/14115-lucknow-institute-of-technology-lit-lucknow/courses-fees?course_id=2049
Nitra Technical Campus - [NTC],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 92,865",B.Tech Artificial Intelligence a...,"₹ 92,865",https://collegedunia.com/college/28827-nitra-technical-campus-ntc-ghaziabad/courses-fees?course_id=2049
Academy of Technology - [AOT],"Hooghly, West Bengal",B.Tech Computer Science Engineering,"₹ 1,57,200",B.Tech Computer Science and Busi...,"₹ 1,57,200",https://collegedunia.com/college/12712-academy-of-technology-aot-hooghly/courses-fees?course_id=2049
ABES Institute of Technology - [ABESIT],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,65,600",B.Tech Information Technology,"₹ 1,65,600",https://collegedunia.com/college/28340-abes-institute-of-technology-abesit-ghaziabad/courses-fees?course_id=2049
Silicon University,"Bhubaneswar, Odisha",B.Tech Computer Science Engineering,"₹ 2,41,000",B.Tech Electronics & Communicati...,"₹ 2,41,000",https://collegedunia.com/university/15135-silicon-university-bhubaneswar/courses-fees?course_id=2049
Narula Institute of Technology - [NIT Agarpara],"Kolkata, West Bengal",B.Tech Computer Science Engineering,"₹ 1,71,950",B.Tech Artificial Intelligence a...,"₹ 1,71,950",https://collegedunia.com/college/14438-narula-institute-of-technology-nit-agarpara-kolkata/courses-fees?course_id=2049
"Chaibasa Engineering College, Techno India Group","Chaibasa, Jharkhand",B.Tech Electronics & Communicati...,"₹ 72,000",B.Tech Computer Science Engineering,"₹ 72,000",https://collegedunia.com/college/59545-chaibasa-engineering-college-techno-india-group-chaibasa/courses-fees?course_id=2055
GL Bajaj Group of Institutions - [GLBGI],"Mathura, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 61,200",B.Tech Artificial Intelligence a...,"₹ 61,200",https://collegedunia.com/college/58554-gl-bajaj-group-of-institutions-glbgi-mathura/courses-fees?course_id=2049
Calcutta Institute of Engineering and Management - [CIEM],"Kolkata, West Bengal",B.Tech Computer Science Engineering,"₹ 1,13,000",B.Tech Information Technology,"₹ 1,13,000",https://collegedunia.com/college/13151-calcutta-institute-of-engineering-and-management-ciem-kolkata/courses-fees?course_id=2049
GNIOT Group of Institutions - [GNIOT],"Greater Noida, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,80,000",B.Tech Artificial Intelligence a...,"₹ 1,80,000",https://collegedunia.com/college/13636-gniot-group-of-institutions-gniot-greater-noida/courses-fees?course_id=2049
Noida Institute of Engineering and Technology - [NIET],"Greater Noida, Uttar Pradesh",B.Tech Computer Science,"₹ 1,79,100",B.Tech Artificial Intelligence a...,"₹ 1,79,100",https://collegedunia.com/college/9743-noida-institute-of-engineering-and-technology-niet-greater-noida/courses-fees?course_id=2050
RCC Institute of Information Technology - [RCCIIT],"Kolkata, West Bengal",B.Tech Computer Science Engineering,"₹ 1,79,350",B.Tech Artificial Intelligence a...,"₹ 1,79,350",https://collegedunia.com/college/14641-rcc-institute-of-information-technology-rcciit-kolkata/courses-fees?course_id=2049
Pranveer Singh Institute of Technology - [PSIT],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,09,296",B.Tech Artificial Intelligence a...,"₹ 1,09,296",https://collegedunia.com/college/14584-pranveer-singh-institute-of-technology-psit-kanpur/courses-fees?course_id=2049
BP Poddar Institute of Management and Technology,"Kolkata, West Bengal",B.Tech Computer Science Engineering,"₹ 1,69,150",B.Tech Information Technology,"₹ 1,69,150",https://collegedunia.com/college/12947-bp-poddar-institute-of-management-and-technology-kolkata/courses-fees?course_id=2049
Meghnad Saha Institute of Technology - [MSIT],"Kolkata, West Bengal",B.Tech Electrical Engineering,"₹ 5,55,000",B.Tech Computer Science Engineering,"₹ 6,97,000",https://collegedunia.com/college/14321-meghnad-saha-institute-of-technology-msit-kolkata/courses-fees?course_id=2052
Shri Ramswaroop Memorial College of Engineering and Management - [SRMCEM],"Lucknow, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,56,610",B.Tech Artificial Intelligence a...,"₹ 1,56,610",https://collegedunia.com/college/18798-shri-ramswaroop-memorial-college-of-engineering-and-management-srmcem-lucknow/courses-fees?course_id=2049
IMS Engineering College - [IMSEC],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,03,919",B.Tech Artificial Intelligence a...,"₹ 1,03,919",https://collegedunia.com/college/13759-ims-engineering-college-imsec-ghaziabad/courses-fees?course_id=2049
Guru Nanak Institute of Technology - [GNIT],"Kolkata, West Bengal",B.Tech Computer Science Engineering,"₹ 6,99,900",B.Tech Artificial Intelligence a...,"₹ 6,51,900",https://collegedunia.com/college/45144-guru-nanak-institute-of-technology-gnit-kolkata/courses-fees?course_id=2049
MCKV Institute of Engineering - [MCKVIE],"Howrah, West Bengal",B.Tech Computer Science Engineering,"₹ 1,43,600",B.Tech Information Technology,"₹ 1,43,600",https://collegedunia.com/college/14124-mckv-institute-of-engineering-mckvie-howrah/courses-fees?course_id=2049
Feroze Gandhi Institute of Engineering and Technology - [FGIET],"Rae Bareli, Uttar Pradesh",B.Tech Aeronautical Engineering,"₹ 95,209",B.Tech Computer Science Engineering,"₹ 95,209",https://collegedunia.com/college/13463-feroze-gandhi-institute-of-engineering-and-technology-fgiet-rae-bareli/courses-fees?course_id=2023
Majhighariani Institute of Technology and Science - [MITS],"Rayagada, Odisha",B.Tech Computer Science Engineering,"₹ 60,000",B.Tech Electrical Engineering,"₹ 60,000",https://collegedunia.com/college/14233-majhighariani-institute-of-technology-and-science-mits-rayagada/courses-fees?course_id=2049
Raj Kumar Goel Institute of Technology - [RKGIT],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,45,500",B.Tech Artificial Intelligence a...,"₹ 1,45,500",https://collegedunia.com/college/14698-raj-kumar-goel-institute-of-technology-rkgit-ghaziabad/courses-fees?course_id=2049
Dumka Engineering College,"Dumka, Jharkhand",B.Tech Electronics & Communicati...,N/A,B.Tech Mechanical Engineering,N/A,https://collegedunia.com/college/55800-dumka-engineering-college-dumka/courses-fees?course_id=2055
Dr. B.C. Roy Engineering College - [BCREC],"Durgapur, West Bengal",B.Tech Electrical Engineering,"₹ 1,57,300",B.Tech Computer Science Engineering,"₹ 1,69,950",https://collegedunia.com/college/13372-dr-bc-roy-engineering-college-bcrec-durgapur/courses-fees?course_id=2052
Vivekananda Institute of Professional Studies - [VIPS],"New Delhi, Delhi NCR",B.Tech Artificial Intelligence a...,"₹ 1,71,500",B.Tech Artificial Intelligence a...,"₹ 1,71,500",https://collegedunia.com/college/9185-vivekananda-institute-of-professional-studies-vips-new-delhi/courses-fees?course_id=22838
Inderprastha Engineering College - [IPEC],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science and Engi...,"₹ 1,11,306",B.Tech Computer Science Engineering,"₹ 1,11,306",https://collegedunia.com/college/13781-inderprastha-engineering-college-ipec-ghaziabad/courses-fees?course_id=26456
Ramgovind Institute of Technology,"Kodarma, Jharkhand",B.Tech Electrical and Electronic...,"₹ 34,000",B.Tech Computer Science Engineering,"₹ 34,000",https://collegedunia.com/college/55802-ramgovind-institute-of-technology-kodarma/courses-fees?course_id=2051
